0,city_ascii,lat,long,country,population
8474,Hartford,43.621,-96.9424,United States,3354
25846,Hockinson,45.7302,-122.4833,United States,5001
25847,Montevideo,44.9505,-95.7153,United States,5001
25843,Midfield,33.4552,-86.9226,United States,5002
25844,Gillespie,39.1258,-89.8173,United States,5002
25841,Worland,44.0026,-107.9543,United States,5003
25842,Oak Park Heights,45.0324,-92.8099,United States,5003
25840,Nottingham,43.1242,-71.121,United States,5004
25837,Hudson,31.3285,-94.8014,United States,5005
25838,Dwight,41.0987,-88.424,United States,5005
25839,Ridgeland,32.468,-80.9176,United States,5005
25836,Greenfield,39.3535,-83.3884,United States,5008
25835,Swoyersville,41.2975,-75.8799,United States,5009
25834,Mullins,34.2042,-79.2535,United States,5010
25833,West Salem,43.8989,-91.0883,United States,5015
25831,Wakefield,43.5916,-71.0098,United States,5016
25832,Sabattus,44.095,-70.0662,United States,5016
25829,Granville Township,40.5735,-77.6129,United States,5017
25830,Caruthersville,36.1814,-89.6664,United States,5017
25826,Charlestown,43.2469,-72.3939,United States,5019
25827,Abbeville,34.1787,-82.3774,United States,5019
25825,Sea Cliff,40.8441,-73.6442,United States,5020
25822,Olyphant,41.4507,-75.5753,United States,5023
25823,Pine Township,41.1681,-80.0657,United States,5023
25824,Dulles Town Center,39.0265,-77.4196,United States,5023
25821,Commercial,39.2763,-75.0407,United States,5026
25820,Summit,32.0619,-110.9483,United States,5027
25819,King George,38.2807,-77.1896,United States,5028
25817,La Crescent,43.8299,-91.3043,United States,5029
25816,Whiskey Creek,26.5733,-81.8903,United States,5030
25815,Citrus Park,33.5304,-112.444,United States,5033
25812,Krum,33.2652,-97.2256,United States,5036
25813,East Flat Rock,35.2802,-82.4171,United States,5036
25814,Barling,35.3284,-94.2792,United States,5036
8406,Mechanicville,42.9037,-73.6895,United States,5037
25811,Harrisburg,43.4321,-96.7037,United States,5038
25809,Chester,42.9672,-71.2509,United States,5039
25810,Amelia,39.0229,-84.2184,United States,5039
25808,Bowie,33.5566,-97.844,United States,5040
25806,Summit,43.0504,-88.4815,United States,5041
25807,Morganville,40.3756,-74.2444,United States,5041
25805,Dundee,28.0115,-81.5995,United States,5044
25804,Yarmouth Port,41.71,-70.2257,United States,5045
25802,Deerfield,42.522,-72.6097,United States,5046
25803,Carver,44.76,-93.6305,United States,5046
25798,Livingston,30.71,-94.9381,United States,5048
25799,Springfield Township,40.5249,-75.2998,United States,5048
25800,Berkeley,41.8891,-87.9114,United States,5048
25801,Vancleave,30.5483,-88.6675,United States,5048
25796,Clifton,33.0249,-109.2883,United States,5049
25795,Jericho,44.4764,-72.9629,United States,5055
25792,Stewartstown,39.7528,-76.5925,United States,5057
25793,Garnet,33.9179,-116.4796,United States,5057
25787,Buckley,47.1615,-122.02,United States,5058
