0,city_ascii,lat,long,country,population
1,Tokyo,35.6897,139.6922,Japan,37977000
2,Jakarta,-6.2146,106.8451,Indonesia,34540000
3,Delhi,28.66,77.23,India,29617000
4,Mumbai,18.9667,72.8333,India,23355000
5,Manila,14.5958,120.9772,Philippines,23088000
6,Shanghai,31.1667,121.4667,China,22120000
7,Sao Paulo,-23.5504,-46.6339,Brazil,22046000
8,Seoul,37.5833,127,"Korea, South",21794000
9,Mexico City,19.4333,-99.1333,Mexico,20996000
10,Guangzhou,23.1288,113.259,China,20902000
11,Beijing,39.905,116.3914,China,19433000
12,Cairo,30.0561,31.2394,Egypt,19372000
13,New York,40.6943,-73.9249,United States,18713220
14,Kolkata,22.5411,88.3378,India,17560000
15,Moscow,55.7558,37.6178,Russia,17125000
16,Bangkok,13.75,100.5167,Thailand,17066000
17,Buenos Aires,-34.5997,-58.3819,Argentina,16157000
18,Shenzhen,22.535,114.054,China,15929000
19,Dhaka,23.7161,90.3961,Bangladesh,15443000
20,Lagos,6.45,3.4,Nigeria,15279000
21,Istanbul,41.01,28.9603,Turkey,15154000
22,Osaka,34.6936,135.5019,Japan,14977000
23,Karachi,24.86,67.01,Pakistan,14835000
24,Bangalore,12.9699,77.598,India,13707000
25,Tehran,35.7,51.4167,Iran,13633000
26,Kinshasa,-4.3317,15.3139,Congo (Kinshasa),13528000
27,Ho Chi Minh City,10.8167,106.6333,Vietnam,13312000
28,Los Angeles,34.1139,-118.4068,United States,12750807
29,Rio de Janeiro,-22.9083,-43.1964,Brazil,12272000
30,Nanyang,32.9987,112.5292,China,12010000
31,Chennai,13.0825,80.275,India,11324000
32,Chengdu,30.6636,104.0667,China,11309000
33,Lahore,31.5497,74.3436,Pakistan,11021000
34,Paris,48.8566,2.3522,France,11020000
35,London,51.5072,-0.1275,United Kingdom,10979000
36,Linyi,35.0606,118.3425,China,10820000
37,Tianjin,39.1467,117.2056,China,10800000
38,Shijiazhuang,38.0422,114.5086,China,10784600
39,Baoding,38.8671,115.4845,China,10700000
40,Zhoukou,33.625,114.6418,China,9901000
41,Lima,-12.05,-77.0333,Peru,9848000
42,Hyderabad,17.3667,78.4667,India,9746000
43,Bogota,4.6126,-74.0705,Colombia,9464000
44,Weifang,36.7167,119.1,China,9373000
45,Nagoya,35.1167,136.9333,Japan,9113000
46,Wuhan,30.5872,114.2881,China,8962000
47,Heze,35.2333,115.4333,China,8750000
48,Ganzhou,25.8292,114.9336,China,8677600
49,Tongshan,34.261,117.1859,China,8669000
50,Chicago,41.8373,-87.6862,United States,8604203
51,Handan,36.6116,114.4894,China,8499000
52,Luanda,-8.8383,13.2344,Angola,8417000
53,Fuyang,32.8986,115.8045,China,8360000
54,Kuala Lumpur,3.1478,101.6953,Malaysia,8285000
55,Jining,35.4,116.5667,China,8023000
56,Dongguan,23.0475,113.7493,China,7981000
57,Hanoi,21.0245,105.8412,Vietnam,7785000
58,Pune,18.5196,73.8553,India,7764000
59,Chongqing,29.55,106.5069,China,7739000
60,Changchun,43.9,125.2,China,7674439
61,Zhumadian,32.9773,114.0253,China,7640000
62,Ningbo,29.875,121.5492,China,7639000
63,Onitsha,6.1667,6.7833,Nigeria,7635000
64,Nanjing,32.05,118.7667,China,7496000
65,Hefei,31.8639,117.2808,China,7457027
66,Ahmadabad,23.03,72.58,India,7410000
67,Hong Kong,22.305,114.185,Hong Kong,7347000
68,Khartoum,15.6031,32.5265,Sudan,7282000
69,Nantong,31.9829,120.8873,China,7282835
70,Yancheng,33.3936,120.1339,China,7260240
71,Foshan,23.0292,113.1056,China,7194311
72,Nanning,22.8192,108.315,China,7153300
73,Hengyang,26.8968,112.5857,China,7148344
74,Xi'an,34.2667,108.9,China,7135000
75,Shenyang,41.8039,123.4258,China,7105000
76,Tangshan,39.6292,118.1742,China,7100000
77,Shaoyang,27.2418,111.4725,China,7071000
78,Changsha,28.1987,112.9709,China,7044118
79,Santiago,-33.45,-70.6667,Chile,7007000
80,Zhengzhou,34.7492,113.6605,China,7005000
81,Zhanjiang,21.1967,110.4031,China,6900000
82,Riyadh,24.65,46.71,Saudi Arabia,6881000
83,Cangzhou,38.3037,116.8452,China,6800000
84,Dar es Salaam,-6.8,39.2833,Tanzania,6698000
85,Maoming,21.6618,110.9178,China,6706000
86,Huanggang,30.45,114.875,China,6667000
87,Xinyang,32.1264,114.0672,China,6634000
88,Shangrao,28.4419,117.9633,China,6579714
89,Luoyang,34.6587,112.4245,China,6549941
90,Bijie,27.3019,105.2863,China,6537498
91,Yantai,37.3997,121.2664,China,6516900
92,Quanzhou,24.9139,118.5858,China,6480000
93,Hangzhou,30.25,120.1675,China,6446000
94,Miami,25.7839,-80.2102,United States,6445545
95,Kunming,25.0433,102.7061,China,6250000
96,Nanchong,30.7991,106.0784,China,6183000
97,Zunyi,27.705,106.9336,China,6127009
98,Lu'an,31.7542,116.5078,China,6090000
99,Yichun,27.8041,114.383,China,6048700
100,Madrid,19.0833,-103.8667,Mexico,6026000
101,Taizhou,28.6583,121.4221,China,5968838
102,Liaocheng,36.45,115.9833,China,5955300
103,Qujing,25.5102,103.8029,China,5855055
104,Xiangyang,32.0654,112.1531,China,5844000
105,Surat,21.17,72.83,India,5807000
106,Baghdad,33.35,44.4167,Iraq,5796000
107,Qingdao,36.1167,120.4,China,5775000
108,Singapore,1.3,103.8,Singapore,5745000
109,Dallas,32.7936,-96.7662,United States,5743938
110,Changde,29.0397,111.6839,China,5717200
111,Dazhou,31.2152,107.4947,China,5693000
